user_name,sentiment_gold,sentiment_pred,entities_gold,entities_pred,tweet_id,user_id,created_at,gold_int,pred_int,text
Beardguy16,0,-1,['anaphylactic shock'],['anaphylactic shock'],1344800404962484224,1175464666409177094,2021-01-01,"[(89, 107, 'ADE')]","[(89, 107, 'ADE')]","--. ------- ---------, - ------ ------- ------ ------------, -------- - ---------------- anaphylactic shock ----- --------- --- ------- -------.  -----://---.-------.---/--/---------------------------------------------------------------- #--------- #-------"
KenoraMinerNews,0,0,[],[],1344795478152671232,19736083,2021-01-01,[],[],"----- --- ----- ---- --------- -- -- -------- ----- --- ------- -- --- -------- ------- -- --- ---------, --- --- ----- ------ ----’- --- ------ ---- --- ----------------- ------- ------- ---- ---- ------ -- --- --- ------------ -- --- ------. -----://---.------------------.---/----/----------/-----------------------------------------------------------------"
MyDelmarvaNow,0,-1,[],[],1344795479247351808,519682873,2021-01-01,[],[],"- --------- -------- ---- - --------- -------- ------------- ------- -- ----- -- --- ------- ----------- ------- ---- - ------------ ---- -------, ------- ---- -- ------ ----------- --- -- ---------.  -----://---.-----------.---/-----/----/------/----/--/--/-------------------------------------------------/----------/"
MKEBizJournal,0,-1,[],[],1344795517910396928,20521204,2021-01-01,[],[],------ ------ ---- ----- -- -------- -- --- ------- -------- ----- ----------- --- -------- ------------- ------- ----- -- --- ------- -------- ------- ---- - -------- -------- ------------ ------- ---- ----.​ -----://---.-----------.---/---------/----/----/--/--/------------------------------------------------.----?---=----------------&----=----&----=------------------------&------------=----------%--+--------+-------&----------=----------&----------=-------
ValleyNewsLive,0,0,[],[],1344795556921683968,21653602,2021-01-01,[],[],"-- ---. --, - --------- -------- ---------- ----- -- -----, -- ----- --- -----, -- --- ------- ------- ------- -- - ------------ --- -------- -- -- -------- ---------. -----://---.--------------.---/----/--/--/---------------------------------------------------------------------------/"
rachelivey,-1,-1,[],[],1344795571492507649,15826719,2021-01-01,[],[],------------- -- --- ----- -- -- ----- -- - ------ --- ---- -- -------- -- -- ----? ----. -------- --------------- ------ -- ------- -- ---------- --- --- ----------- ------------ ---'-. --- --- ----- -'- -------- --- ---- ---- -- ---- ---- -- -- --------- ---- ----. -----://---.-----------------.---/----/-----------------------------------------------------------------------------------------------------
cahaden7,0,0,[],[],1344796404061974529,292296287,2021-01-01,[],[],"-----'- ----- ------- -------, ---- -----, --, ------ ---- ------ ------, - ------- -------- ----- -----------, ----- --- ---------- ------------- -- --- ------ ---... ----://---.-----.---/--------/----------------/----/--------/---------------------------------------------- ---- ------ ----://---.-----.---/--------/----------------/----/--------/----------------------------------------------"
Greenslime_,1,-1,[],[],1344796688251301889,2796143449,2021-01-01,[],[],"--------------- ---------------- --------- ------/----------- -- ---- -- --- £ --------, ----- --------.. -- ---- -- ------ ---- ---- -- -------- -- --- -------, ----- ------------ --- --- ------ --- --------.(--- ----- ------- - -------) -----://---.------.--.--/----/--------/----------------------------------------------------/"
liz_sutt,-1,-1,[],[],1344797307104079874,1129828982826971136,2021-01-01,[],[],--- --- -- ----- --- -- ----? -- --- -- ----- ---- --- -------. --- ----- ----? -- ------ --- ---------- -------- ---- --- --------- -------- --------- ------- -- -------'- -------- ------- -- ------- -- ---- -------- ------ --- -----://------.--/--- -----://---.--/-/-------
RT_com,0,-1,[],[],1344797988695117824,64643056,2021-01-01,[],[],--------- ---------- -------- &---; ----- ------ ------- ----- ------- --- ----- -- -------- ------- -- -------   -----://--.--.---/---- -----://-.--/----------
SputnikInt,0,-1,[],[],1344798995089031168,34262462,2021-01-01,[],[],#--------- -------- -------- ----- ----- ------------- -------- --- ----- -- -------’- #------------  ----------- ----://-------.--/----
NationAfrica,0,0,[],[],1344799246629781507,25979455,2021-01-01,[],[],-- -------- ----- ------- ------ -- ----- -----://---.--/------- -----://-.--/----------
wpdeabc15,0,0,[],[],1344799247061950464,20630658,2021-01-01,[],[],--- ---- -------- -------- ----- ---- ----- -- -------- -- -- -- ---- -- ---- ----- -- ------ -------- --------- -------- ------- -- --------- ------ ---- --- ------- -------- -------. -----://---.--/-------
wlLakenews,0,0,[],[],1344800858375151616,3254193432,2021-01-01,[],[],------- --------- ------- ------- -------- ------- - -- ------- --- -----://---.--/-------
radici_antiche,-1,-1,[],[],1344801014692638722,102207210,2021-01-01,[],[],--- --- ---- --- - ---- ----. - --------- ---------- -------- &---; ----- ------ ------- ----- ------- --- ----- -- -------- ------- -- ------- -----://---.--.---/---/------------------------------------------/
Noahpinion,0,0,[],[],1344801475172569089,281877818,2021-01-01,[],[],- -------- ------- ----- ------- ------ -- --- -- --- ---------- ------------- --- ------- -------:  -----://---.---.---/--------/------------/----/--/--/---------/---------------------------------------------------------
weareiowa5news,0,0,[],[],1344801529929342976,17862527,2021-01-01,[],[],--- ---- ---------- -- ------ ------ -- -------- -- --- ----------- ---- -- --- ------ ---------. -----://---.---------.---/-------/----/------/-----------/-------/-----------------------------------------------------------------/----------------------------------------?------------=-------------&----------=------&----------=----------------------
Mocking36244637,-1,-1,[],[],1344801627396423681,1137054892470628353,2021-01-01,[],[],-- - ---- --- --- ----- ------- ---- ------ ------- -- ------------ --- --------- --- --- -- -- --- ---- ---- --- -- -----------.   --- ---- ------ - --- ---- --- --- ------ ------- --- --- ------- -------. --- ------------ --- ---- --- ------ ---- -- -- -- ----- --- -- --
uwmnewsroom,0,0,[],[],1344801697521049602,2176934060,2021-01-01,[],[],"----- --- --- -- ---- --- ----- -- ------- ------- ------- -----------, --------- ---, -- ---- ------- ------- #------- ------- -------- -------- ----------- ---- --------- ----------------. ----- ----- ---------- ----------- -------- -- ---- ------- -----://--.---.---/-------"
DcSlumdog,-1,-1,[],[],1344801764734869504,22117639,2021-01-01,[],[],#----- -------- ----- -- ------ -- #---------- ---- - ------- - ----://---.--/-------  -- ----- -- #------- ------ --- -- ------ --- -- '----- -----' - ----://---.--/-------  #-- ----------- ------ ‘-------------’ ------- ---- ---- --- #------- ----- - ----://----.--/-------
MennoJansz,0,0,[],[],1344802059195994113,429197701,2021-01-01,[],[],------------- ---------------- ----------- --- --- ---- --- ---- --------- ---- ------/-------- ----. --'- ----- ----- --- ----------- --- -------------- -- -------- -- ----------... -----://---.-----------.---/-------/----/---/--/---------------------------------------------------------
azcentral,-1,-1,"['allergic reactions', ' allergic responses']","['allergic reactions', 'allergic responses']",1356030090153316352,13115682,2021-02-01,"[(74, 92, 'ADE'), (224, 243, 'ADE')]","[(74, 92, 'ADE'), (225, 243, 'ADE')]","------- ------- --- ---------- -- --- ------- --- -- ----------- --- ---- allergic reactions.   -------- --------------- ------------ ---- --- --------- ----------- -- --- ------ --- ------- -------- --, --- --- --- -------- allergic responses -- - ---.  -----://---.---------.---/-----/----/-----/---------------/----/--/--/---------------------------------------------------------------------/----------/"
StandWithUs,0,0,[],[],1356029498257506304,16314859,2021-02-01,[],[],"------ -- ---- -,--- ----- ------- ----- --- ----------- -----------. ----- ------------ --- --- ------ ------- -- ----------- ----- ---- ----- --- ----------- --------- ------ --------, ------ -- -------- --- ------/-------- -------- -- ------------ ---. -----://----------.-------------.---/--------------------------------------------------------------------/"
PacTourismOrg,0,0,[],[],1356029526380335105,801638366,2021-02-01,[],[],"#-- -------- ------------ -- -----, -- ------ ---------, ---- --- #-------- -------- ------ ------ --------, -- #-----, -------- -- -- --,--- ------- ----- --- -----,  --- ---- --- ------- ------ -- -- #----- ------ --- --- -- -----. -----://---------.-------------------.------/-------------------------------------------------/"
AllamanSeb,0,0,[],[],1356030120943898624,1228821310068924421,2021-02-01,[],[],"-- --.--, --'--- ----- -- ------- (------ -- -------) --- ---- ------------ -- ------ 🟨🟥, -- ----- ~-- ---- --- -----. ----- ----- -.--% -- --- -------- --- -------- --- ------- -- ---. -----://---.--.--/---------------------------------/--------------------"
daily_states,0,0,[],[],1356030640634949634,1323116331160555520,2021-02-01,[],[],"----------- -- -------- ------- ------, ------ ------------- -------- -- ------: --- --- ----- -----://--------------.---/----/--/--/--------------------------------------------------------------------------------------------/ --- -------------  #----- #------- #------- #-----------"
pressebanknet,0,0,[],[],1356030878330322949,995039238772154368,2021-02-01,[],[],#------ #-------------- #------------------------- #----- #---------------- #--- #-------------------- #------------------------- #------ #------ ------------- --------- -------- ------ ----- -------; ------------ -- ----- ---- ----- -----://---.----------.---/---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------/
MiriamMerad,1,1,[],[],1356031962281082882,798685402932592641,2021-02-01,[],[],----- --- --------- -----------  ---  ------- ------- ------/-------- -------- -------- ------- ------- -- ---- ---- -------- -- ---- ---- --- --- ------- -------- #------------------------ -----://---.------------.---/------/------------------------------------------------------------------
PompeyBernard,0,0,[],[],1356032193747890177,964278479406628864,2021-02-01,[],[],"------------- ------ ---------- --- ----- --- -----'- ---- --------- -------- ------- ---- --- ---- ------- -- --- --, -----, -----, --- -- --- --- --? -----------, - ------- -------...."
latimes,1,0,[],[],1356032232406695937,16664681,2021-02-01,[],[],--------: --- --- --- ---- ---- --- ------ --- ------- -------- --- ----.  -----://---.-------.---/-------/-----/----------/---------------------------------------------------------  -----://---.-------.---/-------/-----/----------/--------------------------------------------------
ChadBuder,-1,-1,[],[],1356032486296473601,1012155757347987457,2021-02-01,[],[],"----  ""--- --- ----------- --- -------- ---- ---- ------- ---- --- -----’- ---- -- - ---- ---- -- --- -- --- ---- ---- ----------,” --------- ----. “---- --- ------ --- -- -- --- -------- ---- - ----- -- ---- ---------- ------- --- -- --- --- ----.”   -----://---.---.---/--------/--------------------------------------------"
mpershan,0,0,[],[],1356033243452231680,170909585,2021-02-01,[],[],"------- -------- ----'- -----, --- ------/------- ------ ---- ----------- ----- -- ----- -------- -----. -----://---.---.---/--------/----/----/-----/--------------------------------.----#:~:----=---%--------%----------%-------%----%---------%---------%-------------%-------%--,---%----%-----%---------%-------. -----://-.--/----------"
jay9bourne,0,-1,[],[],1356033787541528578,2567331463,2021-02-01,[],[],"-------: -’- - ----- ---------- – - ----- ------- ------- ----- -----://---.-----------.--.--/------/-------------------------------------.----. ---- ---- -----, --- --- --- - --- -- ----- ---- --- ----. ! --! ---- --- ---- ---- -- ------ ---- -- -----!"
DamaniaLab,0,0,[],[],1356033918911307776,3326379653,2021-02-01,[],[],------ ---- ------ ----------- ------- ----- --% ------------- | ----- -- ------- - ------- -----://---.-------.---/-----------------/-------------------------------------------------------------
KapeciaResists,0,0,[],[],1356034220850819074,382886484,2021-02-01,[],[],"- --------- --- ------ -- ----- ------ ------- -- --------- ---- ----- -- --- ------- -------- ------- -- ---- --------, ------- ----------- --- -----://---.---.---/----/--/--/---------/--------------------------------------------------------------------------------?------------=----------&----------=-------.---&----------=------"
TimfromSing,0,-1,[],[],1356034296776167433,1014559008,2021-02-01,[],[],"----------- ------------ --------- - --- -------- -- --- ----------- ------- --, ---- -- -- --- ------- -----. --- ---- -. ------’- ---------- ---- --- -- ------- ------ ----- --- ----- ---- --. -----://---.-----------.---/-------/----/---/--/---------------------------------------------------------------"
PompeyBernard,0,0,[],[],1356034509305769987,964278479406628864,2021-02-01,[],[],------------- ------ ---------- ----- -- ------ ----------- ---. ----- ----- ---- ---- -- - ------- -------. --- ----- --- ------ ----- ---.... -----://---.------------.---/-------------/-------------------------------------------------------------------------------------
tabbyday,-1,-1,[],[],1356034663576428549,44425430,2021-02-01,[],[],"----------- --------------- -------------- -------- --- ------- ----- -- ------------   ---------- ------ ------, --, ---- --- ---- ----- ------- --- ------ ----- ------- -- --- ------ ---- -- '----- -------'  -----://---.---------.--.--/----/---------------/----------------------------------------------------------------------.----"
tabbyday,0,-1,['die'],[],1356035382278823936,44425430,2021-02-01,"[(46, 49, 'ADE')]",[],----------- --------------- -------------- -- die -- ------ ------- ----- --------- --- ------ --.-  -----://------.---/----/--/--/--------------------------------------------------------/
skepticalraptor,1,1,[],['allergic'],1366183940067889155,421275603,2021-03-01,[],"[(138, 146, 'ADE')]","----- ---- -- ----- #------- #------- ------- -- --- --- – ----- --- ------ --- ---? --- --- --- ---- -- --------- -- ---, ------ --- --- allergic -- --- ------- -- ----------- --------. ---- --- ---- ------- ------ --- -------- -------- -----://--.---.--/------- #------------ -----://-.--/----------"
DanBerky,1,0,['a little bit of a fever'],['fever'],1366185905275371523,701263770392219649,2021-03-01,"[(96, 119, 'ADE')]","[(114, 119, 'ADE')]",----------- - --- -- ----- ----- -------. 🥁🥁🥁📯.......--- --- ------ --......-------💉 :  ------- a little bit of a fever ---.  ---- -------- -- -- ---- - --- - -------- ----------- -------- -- --- ----- -------.
brenisphere,0,0,[],[],1366176463599271943,65733298,2021-03-01,[],[],"------------ ------ -------- ------- ---- --------- ---- ------ -----------, --- ------- ----. -- ----’- --- -- --- ----- -- --------- --?    -----://---.--/-/-------"
APIC,0,0,[],[],1366176555228147713,17140902,2021-03-01,[],[],"---- --. --------- ------- ---------, ------- -- --- ---- ---- ------ ------- --- ------- -------, ----- -- --------- --- -- --- -------- (---- -- -- ----- --------) ----- ------------ -- -- ------ -- ----- --- -------- -------- -- --- --:  ----://--.--/-----------   --- -------- -----://-.--/----------"
HGottago,0,0,[],[],1366177056489426950,1322095354960105472,2021-03-01,[],[],------ ---- -- ------ --- ------- ---- -- “-------” -- ----- ---- ----- -------- --------- -----://------------.---/----------------------------------------------------------------------------------------/
smyleymom,0,0,[],[],1366177235158388742,115837069,2021-03-01,[],[],"-------------- ------------ - ----- ---- ---- ----- ---- --- ------- ---, --- - --- - ----------, ----- -- ---- --- -----. ------: -----://---.------.---/----/-------------------------------------------------------/ -----://-.--/----------"
chaneilcimhoff,0,0,[],[],1366177420651368450,53122745,2021-03-01,[],[],"-.--% #------------ --- ---- -------- -- ------- --- ------- -- -- -------- -- ---- ---- ---- ------- --------- ----- ----- ---- -- --- #----------- -------.  ------: -------- -- ------, --------, --- --- -----------.  ----://---.-------------.---/--------------------/"
Flossie61090187,-1,-1,[],[],1366177747186315265,1345102489897455617,2021-03-01,[],[],------------- ------ ---- ---------- --------- -- ---- ---------- ---------- ---'- ---- - ------ -- ------- ------- ------ ------- ------ -- ---- --- ----- ------ --- ----- ----- -- -------- ---------- ---------. ------ ----
cnnphilippines,0,-1,[],[],1366177766262013954,2811559122,2021-03-01,[],[],"----- --- -------- -------- ------- -- --- -------, --- ---------- ----- ------- ---- ---------: ------------ --- ------------ --- -------- -------.  -- --- ---- --- ------- -------- ------- ---------? --------------- ----- -- ---- ----://---.--/------- -----://-.--/----------"
CheerVid,0,1,[],[],1366177881290911747,214720764,2021-03-01,[],[],--------- ---------- ---- ----: -----://---.---.---/-----/------/-------/-------------------------------------------------------------------/-----------
TibsterAU,-1,-1,[],[],1366177889549385728,546428144,2021-03-01,[],[],"-- --'- --- ------ ---- ------- ------ ----- ------- ---- ---, --- ---- --- ---- ------ ------- --- -------- ---- --- ----- --,--- ----- ---- ------- --- --- --- ------ -------? ----- ---- ----- --- ---- ------- --------- -- --- ----, ---------- ---- ---- --- -- -------? #-----"
ABSCBNNews,0,0,[],[],1366178068407017474,15872418,2021-03-01,[],[],• ----------- -------- ----- -------- ------ -- -------- -------- #---------------- -----://---.--/-------  • ------- -- -----------'- -------- ------- -- -- -------: ----- -----://---.--/-------
cnnphilippines,0,0,[],[],1366178217720123392,2811559122,2021-03-01,[],[],"---- --- ------- -- ------- --------, --- ----------- -- --- --- ---- ------- -- ----- -- ------- --- ------ -- -------- --------.  --- --------- ------- --- ------ -- ------ -- ------ -- --- -----. -------------- --- --- ------- ----://---.--/------- -----://-.--/----------"
a3l3,0,-1,[],[],1366178931519283200,105396977,2021-03-01,[],[],----- ------- ----- ---------- ----- -- ------ ---------- ---- -----://---.----.---.--/---------/------/---------------/-----------------------------------------------------------------------------------------------------/----------/--------------------------------
60Minutes,0,1,[],[],1366179764017504260,18812572,2021-03-01,[],[],------ -------- -- ------- -- ---------- --- ------------- ------- --- --- – --- --- ---------- -- -------- -------- -- ------/-------- --- -------.  --- --------- ----- -- ------- -------- ---- ------- --- ---- -- ----- --- -----------. -----://----.--/------- -----://-.--/----------
MarkMur90093977,1,1,[],[],1366179944531918851,1278081209046839307,2021-03-01,[],[],"- ------ ---- -- --- ------- ------- --- ---- -- -------- --------- -- ---- ---- -- --- ---- --- --- ------ --- -- ---- --------- -- ---- ---- --- ------, --- -------- --------. -----://---.--------.--.--/-------/----------------------------------------------------"
sosapoop,1,0,[],[],1366179965545439238,1328127420839440384,2021-03-01,[],[],- --- -- ------ -------- ------- ---- ----   ------ ---- --------- 😈‼️
CaesarDarias,0,0,[],[],1366179995526250498,1050954896109920257,2021-03-01,[],[],"--- -------- ------- ------ (--------------- &---; -------)  - --,---,--- ----- -----------  ---,---,--- ----- ------------   ---,---,--- ------ -/ --- -----  ---- ---- ----- ----- ------------ -,---,---  ---- ------ ----- ------------ -,---,---"
gmanews,0,0,[],[],1366180130801004548,39453212,2021-03-01,[],[],"---- --- -- --- -,--- -------- -- --- --. ---- -. --------- -------- -------- --- ---------- (---- --------) -- -------- ---- --- ------- -- ------- -------'- ------- ------- --------. ----://---.--/-------"
cloudosaur,1,1,[],[],1366180325324390401,1303429511955054593,2021-03-01,[],[],---- --------- -- ----------- --- -- ----- ----- ------- ----! -'- ------- ------- --------! -- --------!
jmj_tino,1,0,[],[],1366180538894098435,1244045349582295041,2021-03-01,[],[],"------------ --------, -- - ---- --- -----------------, -'- ---- -------. --- -- --------- ----- ---- ""--- ------- -- ------ ---- -- -------"" ---- --- ----- -- --. --- --------, - ------- ---- ---- --------. ----------, ---- -- --- ----- -------- --- ----, -- --'- ----- ------- ----'- ------."
PetraLockhart8,1,1,['hard to sleep on the wrong side'],[],1366181024732831748,1311853497395027968,2021-03-01,"[(242, 273, 'ADE')]",[],- --- ----- ------ -- --- -- ------ ------- ----- ------- (---- -------!). -------: ----- ----- ----- ---- --- ------ -- ----- -- --- --- -- -- --- -------- ---. - ---- --- ------- -- -------- ----- -- -------- ---- --- ----- ---- --- -- --- hard to sleep on the wrong side.
manicdee,0,0,[],[],1366181477801553925,83980746,2021-03-01,[],[],"-- --- ---- ------- ----------- ---- --- ---------- ----- ----------- ------- -- ----, ------ ---- -- --- ------- -- ------- -- ---------- ---------.  -----://---.---.---.--/----/-------/----------/----------------------------------------------------------------/--------  ----- -------: -- ---- --- ------ ---- ----. ---- ---- --- ------- ---- -- ---- -- ---."
Lyna5001,-1,-1,[],[],1366181597452656647,1093406736659202048,2021-03-01,[],[],"🇺🇳----------------: ----------- --- ---- ------- - ----- - -- -- ----. -- ---- ---- --- ------- ""----------- --------"" -- -- ------- ---- ---- ------ --- ---- --- -------- --- --- ------ --- --- -----. -- - ------ --------, - ------- -- ------ -- --------- ---- -- ---- ---------."
infinity10,-1,-1,[],[],1366181646404182017,14793505,2021-03-01,[],[],“-- ---- ---- ---- -------- ------ ------- -------- --- ----------- ---.” 🤨--------- ---------. ⁉️ -----://---.---------------.---/----/----------/--------------------------------------------------------------------
Gh72190914,-1,-1,['agonising red rash'],"['agonising', 'red rash']",1377426330300473346,1223742955732774919,2021-04-01,"[(73, 91, 'ADE')]","[(73, 82, 'ADE'), (83, 91, 'ADE')]",---- ----- ---- ---------- -------- --- --------- ------’- --- ------ -- agonising red rash ----- ------- -----------'- ----- ------- -----://---.---------.--.--/----/---------------/------------------------------------------------------------------------.----
DavidMeekart,0,-1,['Feeling a bit dumpy'],"['sleep', 'dumpy']",1377431684644184066,287898748,2021-04-01,"[(0, 19, 'ADE')]","[(53, 58, 'ADE'), (14, 19, 'ADE')]",Feeling a bit dumpy ----- -- ------ ------- ----- -- sleep ---- ---- ---- -----   #----- #------- -----://-.--/----------
sashitamazanita,1,1,[],['arm doesn’t hurt'],1377432425509187587,54704766,2021-04-01,[],"[(77, 93, 'ADE')]",--- -- ----- -- ------- ----- - ----- --- -- --- -- ----! - ---- ---- --- -- arm doesn’t hurt --- --- - --- --- ------- ---
ctvwinnipeg,0,-1,[],[],1377410460736086020,21110041,2021-04-01,[],[],--------’- ---- -------- -- --- ------- -------- ------- --- ---- ------- - ----.​  -----://--------.-------.--/-----?---=--%------------%-------------%-------------&------=-------&----=------------------------&------------=----------%--+--------+-------&----------=----------&----------=-------
CGTNOfficial,0,1,[],[],1377410532857180169,1115874631,2021-04-01,[],[],"---- -------- -- ------- #------- ------ --------- --- ------- ------ ----- -------- -------- ---- ------ -- -------- ---------- ---- --- ------------ -- --- ----- ------ ------------, --- ----- -- - ---- -------- ----- ---- -- ---------. -----://-.--/----------"
AndyParkerHoff,1,-1,[],[],1377412017187823619,1230840233404575744,2021-04-01,[],[],--- -- ------- --------- ---- ---- ----- ------- --- ---? ---- “-- -- --- ---- --- -- ---- - -------”.
ccouja,0,0,[],[],1377413357687304194,1295515915614924800,2021-04-01,[],[],"---------- ------------ ----'- -------, -- -- ---------, ----- -- -------.  ------: -----://---.---.---/-----/----/-----/--------------------------------------------------------------/-----------?----=--------"
DaddyKrakenProd,0,0,[],[],1377413785393057792,1171903614585135104,2021-04-01,[],[],-- ------ ------- -------'- ----- ------- ------- ---- --- ----- ------- ------- -----://---.----.---/----/--/--/------------------------------------------------------------------------------------.---- -----://-.--/----------
trishankkarthik,0,1,[],[],1377413792418566146,2434784281,2021-04-01,[],[],"------- -- ------ ----- -- -&---;- (---- ---- ------------ ----- --- -- -----), --- ------ ----- ------ -- ------ ------ -- ------  -- --- ----, ---- -------- ---- ---- -- -------- -- ----- (-- --- --------- ----- ------- -------, -- ---- ----)  -----://-----------.---/-------/----/--/--------------------------------------------------------------------/"
boygobong,0,0,[],[],1377415446211612673,2302127191,2021-04-01,[],[],"[----] ----- ---- ------ ------ ≥-- -----… -- --- -------, ----------, --------- --- ------- -----… --- ------- ---- -------- --- --------- [-------] -------, -- ---- -- ------ ----- --- ---- --- -------- --- -------- -------. #------- #----------  -----://---.---.---/-----------/-------------/---------------------------------------------------------------------"
zakariosheku,1,1,[],[],1377415875477692416,2903412125,2021-04-01,[],[],"----- --- --- ------ --- ---- -- -------- -------- --- --------. ---- ----- --------, ---- -- --------. --- -------- -------- -------. --'- --------- --- -- ------- ------- ------.   ------- ----------- ------------ --------"
Indsamachar,0,0,[],[],1377416820563435521,982411422905778176,2021-04-01,[],[],"------- --- -- ---- --- --?   ------, ------ ------- ------- - ---- -----  --- -------- --- ----- ---------- -- ------’- ------- - ------- --- --------- -- --- -------, ------- -------- ---- --- -------- --------- ------ (---).  #-------- -----://-.--/----------"
jordanfrank,0,0,[],[],1377416921553977345,17465654,2021-04-01,[],[],-- --------- ----- ---- -------- ----- -- --------’- ------------- -- --- ------- ---- -------- ------- -----. -----://------.--------.---/----/-----------/-----/---------------------------------------------------------------------------------
Kikeflowers,1,0,[],[],1377417696107581443,101034090,2021-04-01,[],[],"-------- --- ---- 💉🦠👏 👊💪!! #------- #-------- #------- #------- #----- #--- - -------, ----- -----://---.---------.---/-/-----------/?------=-------------"
Maelcholaim,0,-1,[],[],1377419633104277508,1249129705061695489,2021-04-01,[],[],"“--- -- -------- ------ ------------, ---- ---- “----” ---- ----- -- ------- ------ --- ------- -- ----------- ------ -- ---- --- ----------- -- --- ----.”  -- -- ------ --, --- -- ---- ------------ ----- ------ -- -------- ------ -- --- --.  -----://---.--------.--.--/-------/------------------------------------------------------"
bilbospizza,0,1,[],[],1377419895223152643,113679170,2021-04-01,[],[],-- ----------- ---- ---- ----------- ----- ------- -----://---.------.---/----/--/--/--------------------------------------------------/ --- ---.- ---
InstituteKosha,0,0,[],[],1377420064102576129,1377227377923780608,2021-04-01,[],[],--------- --------------- ----- -----  -----://---.-----.---/-/-----------------------------------------------/--------.----
2dedostesta2,1,1,[],[],1377421540552101889,1360564874628186112,2021-04-01,[],[],"“----- -------- -------, ------- -- ----- ----- -- --- 💉.” -----://--.---/-------/---------------------------------------------------------------/ ---------- ----- ------... --- -- - ----..."
vettechboi,1,1,[],[],1377421801861439489,264231469,2021-04-01,[],[],"---- --- -- ----- ----- -------, - --- -------. --- ---’- --- -- ------ ------. --- ---- ---- ---- ----.  - -- ---- ---- ------ -- -------. -- ---- -- - -- ----------. -- ---- ----- #-"
CrabbBrendan,1,1,[],[],1377421975065260032,2341433004,2021-04-01,[],[],"------------- ---------- ------ ---, --- ---------- -- ----- ---- - --- ----. --- ------- ----- --- ---- -- ----. --- ---- ----- -- -------------- -- #--- -- ------- ----- -----, --- -- ------- ---- --------------. -- --- ---- ---- ---- ----- ---- - ------------ ------ ------.  -----://---.---.---/----/----/---------------------------------------------------------------------------------------"
